job_id,job_name,mo_id,number_of_positions,module_name,requirements,start_date,end_date,additional_notes,keywords,status
job001,Data Structures Lab Assistant,evans@bupt.edu.cn,4,Data Structures,Applicants must hold a strong grade in data structures and algorithms and demonstrate solid Java programming including collections generics and basic complexity analysis. You should be comfortable leading a lab section of up to twenty students and explaining asymptotic notation tree traversals and basic graph algorithms on the board. Experience with Git version control and JUnit-style testing is expected. You will prepare short exercise sheets before each session and help students debug logic errors patiently. English fluency for classroom discussion is required and prior tutoring experience is a plus.,2026-05-01,2026-07-15,Lab sessions run Tuesdays and Thursdays from 3:00 PM to 5:00 PM in Building 3 Room 201. Arrive fifteen minutes early to prepare the room and verify projector access. Optional online office hours Wednesday 7:00 PM to 8:00 PM. Expect roughly eight hours per week including preparation and short grading of attendance checkpoints.,"Data Structures, Algorithms, Java, JUnit, Lab Teaching",0
job002,Programming Fundamentals Help Desk,evans@bupt.edu.cn,2,Introduction to Programming,We seek TAs who mastered procedural and object-oriented basics in Java or Python and who can explain variables control flow functions and simple debugging strategies to beginners. You should be able to walk through compiler error messages and help students structure small assignments without writing code for them. Patience with diverse backgrounds and clear spoken English are essential. Experience with an IDE such as IntelliJ or VS Code is helpful. You may also assist with grading rubrics for weekly quizzes under the instructor supervision.,2026-04-05,2026-07-01,Drop-in hours are Monday Wednesday Friday 4:00 PM to 6:00 PM in the open lab on the second floor. You may split shifts with another TA. Typical workload is six to seven hours weekly including a short sync meeting on Monday mornings.,"Java, Python, OOP, Debugging, Beginner Mentoring",0
job003,Software Engineering Project Studio,slin@bupt.edu.cn,2,Software Engineering,Candidates should have completed a team software project using Git branching code reviews and lightweight agile practices. You will mentor student teams on requirement clarification UML sketches and integration testing. Familiarity with Spring Boot or similar frameworks is welcome though not mandatory. Strong written feedback on pull requests and respectful communication in group channels are critical. You must document recurring issues for the instructor weekly.,2026-05-01,2026-08-31,Studio blocks are Monday and Wednesday evenings from 6:30 PM to 9:00 PM. Room capacity is limited so please enforce sign-in sheets. This posting is now closed for new applications after the department finalized staffing.,"Git, Code Review, Agile, Spring Boot, Team Mentoring",1
job004,Computer Networks Lab Support,kzhang@bupt.edu.cn,2,Computer Networks,Applicants should understand IPv4 addressing subnetting TCP versus UDP basics and simple socket programming at least at an introductory level. You will supervise hardware labs configuring small LANs and running packet capture exercises with Wireshark. Ability to explain common troubleshooting steps in English is required. Shell scripting for automation is a bonus. Safety awareness when handling rack equipment is mandatory and training will be provided in week one.,2026-04-10,2026-07-20,Labs meet Friday afternoons 2:00 PM to 5:00 PM. Network closet access requires card access which TAs receive after training. Estimated weekly hours are seven including setup and teardown time.,"Networks, TCP/IP, Wireshark, Linux, Shell Scripting",0
job005,Algorithm Contest Preparation Workshop,slin@bupt.edu.cn,1,Algorithms,We need one TA with strong competitive programming background including dynamic programming graph algorithms and careful complexity analysis. You will run weekly problem sessions and review student submissions for edge cases. Familiarity with online judges and C++ or Java for fast prototyping is expected. You should be able to present solutions clearly on a whiteboard and encourage collaborative pair programming during practice.,2026-05-15,2026-06-30,Workshops were held Saturday mornings 9:00 AM to 12:00 PM. This cycle has ended and the position is closed; remaining applications are archived for reference only.,"Competitive Programming, Dynamic Programming, Graph Algorithms, C++, Online Judges",1
job006,Introduction to Business Analytics,dclark@bupt.edu.cn,3,Business Analytics,Seeking TAs who can help students build pivot tables interpret regression output in Excel or R and present KPIs to non-technical audiences. Business IS or economics backgrounds preferred. Patience with students new to quantitative methods is essential.,2026-04-02,2026-06-09,Weekly lab support sessions tied to case datasets from retail and HR domains.,"Excel, Business Analytics, KPIs, Regression, Communication",1
job007,Exam Proctor,admin@bupt.edu.cn,5,General Examinations,"Applicants must be reliable, detail-oriented, and committed to upholding exam integrity. Responsibilities include monitoring student behavior (e.g., preventing unauthorized materials, maintaining quiet), distributing/collecting papers, recording attendance/absences, and reporting irregularities (cheating, technical issues) to the chief proctor. Strong communication skills (fluency in English/local language for instructions) and calm demeanor in disruptions are essential. Prior proctoring or educational experience is preferred; training on exam protocols (e.g., emergency procedures) will be provided. Ability to arrive 30 minutes early for shift briefings and adapt to variable schedules is critical.",2026-06-30,2026-07-15,Arrive 30 mins early for setup/briefing. Optional debrief meetings post-exam week.,"Reliability, Attention to Detail, Exam Protocols, Communication",0
job008,Machine Learning Lab Coach,slin@bupt.edu.cn,2,Machine Learning,Applicants should have completed foundational machine learning coursework and be comfortable explaining linear regression model evaluation and basic feature engineering workflows. You will support weekly labs where students implement small experiments in Python and compare outcomes across datasets. Familiarity with Jupyter notebooks pandas and matplotlib is expected. Clear communication and patient debugging support are required especially during assignment deadlines.,2026-03-01,2026-06-30,Labs run Tuesday evenings 6:00 PM to 8:00 PM with an optional online Q and A block on Sunday night. Weekly workload is around six hours including preparation.,"Machine Learning, Python, Pandas, Jupyter, Feature Engineering",1
job009,Database Systems Office Hour TA,kzhang@bupt.edu.cn,2,Database Systems,We are looking for TAs who can guide students through relational schema design SQL query troubleshooting and transaction basics. You should be able to explain joins normalization and indexing trade-offs with practical examples from coursework. Prior experience using PostgreSQL or MySQL is preferred. Responsibilities include hosting office hours documenting frequent mistakes and assisting with assignment grading calibration meetings.,2026-04-10,2026-07-20,Office hours are scheduled on Wednesday and Friday afternoons. Please coordinate with other TAs to ensure coverage before project checkpoints.,"SQL, PostgreSQL, Schema Design, Normalization, Indexing",1
job010,Discrete Mathematics Tutorial Assistant,evans@bupt.edu.cn,3,Discrete Mathematics,Candidates should be confident with logic proofs induction combinatorics and elementary graph theory. You will facilitate small-group tutorials and help students practice translating problem statements into formal steps. Attention to detail and clear whiteboard explanations are essential. You may also assist the instructor by collecting common misconceptions and preparing short recap handouts before quizzes.,2026-04-15,2026-05-30,Tutorial sessions are arranged in three compact weekly blocks and include one shared prep meeting each Monday.,"Discrete Math, Logic, Proofs, Combinatorics, Graph Theory",0
job011,Winter Programming Bootcamp Mentor,admin@bupt.edu.cn,2,Programming Bootcamp,This short-term position supported an intensive winter bridge program for first-year students with uneven coding backgrounds. TAs provided guided practice on loops arrays and debugging habits and maintained attendance and progress notes for instructors. Prior tutoring experience and consistent communication were required.,2025-11-15,2026-01-20,Program has finished and records are retained for historical staffing analysis.,"Beginner Mentoring, Loops, Arrays, Debugging",1
job012,Academic Writing for Computing Support,slin@bupt.edu.cn,1,Academic Writing for Computing,The role focused on helping students structure technical reports for software projects including abstract writing citation style and concise result interpretation. The TA collaborated with both language instructors and computing faculty to align rubric expectations and gave written feedback during draft review weeks.,2025-09-10,2025-12-20,Position ended after the autumn semester and is kept for recruitment history.,"Technical Writing, Citation Style, Report Structure, Rubric Alignment",1
job013,Operating Systems Lab Mentor,rpark@bupt.edu.cn,2,Operating Systems,Candidates must have completed operating systems coursework with strong performance in process management virtual memory and synchronization topics. You will guide students through pthread labs GDB debugging and basic shell scripting exercises. Prior TA or tutoring experience is preferred. Clear English explanations and calm troubleshooting under deadline pressure are essential.,2026-04-08,2026-07-25,Labs run Wednesday 2:00 PM to 5:00 PM in Building 5 Room 110. GDB and rr cheat sheets are provided in week one. Estimated seven hours weekly.,"Operating Systems, GDB, Pthreads, C, Lab Support",0
job014,Web Development Studio Coach,slin@bupt.edu.cn,2,Web Technologies,We seek TAs comfortable with HTML CSS JavaScript and a modern framework such as React or Vue. You will review student team milestones critique API contracts and run short code clinics on state management and accessibility. Experience with REST backends and Git workflows is expected. You should give constructive written feedback within 48 hours of each review cycle.,2026-04-12,2026-08-15,Studio meets Tuesday and Thursday 6:00 PM to 8:30 PM. Bring your laptop for live demos. Typical workload is eight hours per week.,"React, JavaScript, REST, Git, Accessibility",0
job015,Distributed Systems Reading Group Facilitator,kzhang@bupt.edu.cn,1,Distributed Systems,Applicants should understand consensus basics replication trade-offs and fault models at an introductory graduate level. You will facilitate weekly paper discussions prepare discussion questions and help students connect readings to prior networks coursework. Strong facilitation skills matter more than programming speed.,2026-05-01,2026-07-10,Sessions are Friday 10:00 AM to 12:00 PM in a seminar room. Reading list is fixed by the instructor.,"Distributed Systems, Consensus, Facilitation, Networks",0
job016,Information Security Lab Assistant,cmartinez@bupt.edu.cn,2,Information Security,Candidates should understand common web vulnerabilities authentication basics and secure coding habits. You will supervise labs on threat modeling packet inspection and secure configuration checklists. Ethical conduct and respect for legal boundaries are mandatory. Python and Linux familiarity are expected.,2026-04-20,2026-07-30,Labs on Monday afternoons with pre-lab briefing at 1:30 PM. Safety and ethics briefing required before week two.,"Cybersecurity, Linux, Python, Threat Modeling, Ethics",1
job017,HCI Prototype Review TA,mthompson@bupt.edu.cn,1,Human-Computer Interaction,We need a TA who can run structured usability review sessions document findings in clear language and help students iterate on Figma prototypes. Basic front-end knowledge is helpful but deep backend skills are not required. Bilingual facilitation is a plus for mixed cohorts.,2026-04-18,2026-06-28,Review blocks scheduled during project weeks only. Flexible evening slots available.,"HCI, Figma, Usability Testing, UX, Facilitation",1
job018,Big Data Tools Workshop Support,jlee@bupt.edu.cn,2,Data Mining,TAs supported a short workshop series on Spark basics HDFS concepts and simple pipeline debugging. Applicants needed prior coursework in databases and Python and patience for environment setup issues on shared clusters.,2026-02-01,2026-03-28,Workshop cycle completed; records kept for staffing history.,"Spark, Hadoop, Python, Pipelines, Workshop",1
job019,Finals Week Exam Proctor Pool,admin@bupt.edu.cn,8,General Examinations,Large pool hire for finals season. Same integrity and communication standards as job007. Multiple shifts across buildings. Training session mandatory on 2026-06-28.,2026-04-28,2026-07-18,Shifts assigned one week before finals. Check email for room assignments daily.,"Proctoring, Exam Integrity, Communication, Reliability",0
job020,Computer Vision Project Studio,wanghong@bupt.edu.cn,2,Computer Vision,Applicants should have project experience with PyTorch or TensorFlow and understand CNN basics data augmentation and train-val split discipline. You will coach teams on experiment logging and ethical dataset usage. Research integrity and reproducibility are emphasized.,2026-04-25,2026-08-20,Studio Sunday afternoons 2:00 PM to 5:00 PM plus optional weekday Q and A.,"Computer Vision, PyTorch, Deep Learning, Experiments",0
job021,Microeconomics Tutorial Facilitator,dclark@bupt.edu.cn,2,Microeconomics,We need TAs who can explain supply-demand models elasticity and consumer choice with clear graphs and real-world examples. You should be comfortable drawing and interpreting diagrams on the board and helping students translate word problems into equations. Economics or business majors with strong grades in introductory micro are preferred. Prior tutoring in quantitative subjects is a plus.,2026-04-01,2026-07-10,Tutorials run Tuesday and Thursday 10:00 AM to 11:30 AM. One prep hour weekly with the instructor.,"Microeconomics, Graphs, Tutoring, Word Problems, Economics",0
